project_id,project_name,is_modeling,is_incubation
1,4diac,0,0
2,acceleo,1,0
3,actf,0,0
5,ajdt,0,0
6,amalgam,1,0
7,app4mc,1,1
8,aspectj,0,0
9,b3,0,1
10,babel,0,1
11,bpel,1,0
12,bpmn2,1,0
13,bpmn2-modeler,1,0
14,buckminster,0,0
15,capra,1,1
16,cbi,0,0
17,cdo,1,0
19,chemclipse,0,1
20,dali,0,0
21,dash,0,1
22,diffmerge,1,1
23,dltk,0,0
24,e4,0,1
25,ease,0,1
26,eatop,1,1
28,ecf,0,0
31,eclipsescada,0,1
32,ecoretools,1,0
33,edapt,1,0
35,eef,1,0
37,efxclipse,0,0
38,egerrit,0,0
40,egit,0,0
41,emf,1,0
42,emf-parsley,1,0
43,emf-query,1,0
44,emf-store,1,0
45,emf-transaction,1,0
46,emf-validation,1,0
47,emfatic,1,0
48,emfclient,1,0
49,emfcompare,1,0
50,epf,0,0
51,epsilon,1,0
52,equinox,0,0
53,etrice,1,0
54,facet,1,1
56,gendoc,1,1
58,gmf-notation,1,0
59,gmf-tooling,1,0
60,graphiti,1,1
61,handly,1,1
62,henshin,1,1
64,hudson,0,0
66,intent,0,1
69,jdt,0,0
72,jeetools,0,0
73,jetty,0,0
77,jgit,0,0
78,jsdt,0,0
79,jsf,0,0
80,jubula,0,0
81,jwt,0,0
83,krikkit,0,1
85,ldt,0,0
86,libra,0,1
87,linuxtools,0,0
88,lsp4e,0,1
90,lyo,0,0
91,m2e,0,0
92,m2e-wtp,0,0
93,m2t,1,0
94,mat,0,0
95,mdht,1,1
96,mdmbl,0,1
97,mdmweb,0,1
99,mmt,1,1
100,modisco,1,0
101,mosquitto,0,1
102,mpc,0,0
103,mtj,0,0
104,mylyn,0,0
105,nattable,0,0
106,nebula,0,0
107,objectteams,0,0
108,ocl,1,0
109,ogee,1,1
110,om2m,0,0
112,oomph,1,0
114,orbit,0,0
115,orion,0,0
117,osee,1,1
118,papyrus,1,0
119,pde,0,0
120,pdt,0,0
122,planeteclipse.org,0,0
123,platform,0,0
127,pmf,1,1
128,rap,0,0
129,ptp,0,0
135,recommenders,0,0
142,recommenders.incubator,0,1
143,riena,0,0
144,rmf,1,1
145,rtsc,0,1
146,sandbox,0,1
147,sapphire,1,0
149,scout,0,0
150,servertools,0,0
153,sirius,1,0
154,sisu,0,1
155,skalli,0,1
156,smila,0,0
157,sourceediting,0,0
158,sphinx,1,1
159,stardust,1,0
161,stem,1,0
163,swtbot,0,0
164,tcf,0,0
165,texo,1,1
166,tigerstripe,1,1
170,tm,0,0
171,tracecompass,0,0
172,tycho,0,0
173,uml2,1,1
175,umlgen,1,0
193,usssdk,0,1
194,uomo,1,1
195,viatra,1,0
196,virgo,0,0
197,webservices,0,0
206,websites,0,0
208,xsd,1,1
209,webtools-common,0,0
210,windowbuilder,0,0
211,winery,1,1
213,xwt,0,0
